name,code,lat,lon,arr,dep,day,distance
SHRI MATA VAISHNO DEVI KATRA,SVDK,,,,,,
CHAKRAKWALA,CRWL,,,,,,
MARTYR CAPTAIN TUSHAR MAHAJAN,MCTM,,,,,,
RAM NAGAR,RMJK,,,,,,
JAMMUTAVI,JAT,,,,,,
KATHUA,KTHU,,,,,,
PATHANKOT CANTT,PTKC,,,,,,
MUKERIAN,MEX,,,,,,
DASUYA,DZA,,,,,,
JALANDHAR CANT,JRC,,,,,,
LUDHIANA JN,LDH,,,,,,
KHANNA,KNN,,,,,,
SIRHIND JN,SIR,,,,,,
AMBALA CANT JN,UMB,,,,,,
KURUKSHETRA JN,KKDE,,,,,,
KARNAL,KUN,,,,,,
PANIPAT JN,PNP,,,,,,
SONIPAT,SNP,,,,,,
SUBZI MANDI,SZM,,,,,,
NEW DELHI,NDLS,28.6139,77.209,,,,
FARIDABAD,FDB,,,,,,
BALLABGARH,BVH,,,,,,
PALWAL,PWL,,,,,,
KOSI KALAN,KSV,,,,,,
MATHURA JN.,MTJ,,,,,,
AGRA CANTT JN.,AGC,27.1767,78.0081,,,,
DHAULPUR,DHO,,,,,,
MORENA,MRA,,,,,,
GWALIOR JN.,GWL,,,,,,
DABRA,DBA,,,,,,
DATIA,DAA,,,,,,
VIRANGANA LAKSHMIBAI JHANSI JN,VGLJ,,,,,,
BABINA,BAB,,,,,,
LALITPUR,LAR,,,,,,
BINA JN,BINA,,,,,,
GANJ BASODA,BAQ,,,,,,
VIDISHA,BHS,,,,,,
BHOPAL JN.,BPL,,,,,,
SANT HIRDARAM NAGAR,SHRN,,,,,,
SEHORE,SEH,,,,,,
KALAPIPAL,KPP,,,,,,
SHUJALPUR,SJP,,,,,,
AKODIA,AKD,,,,,,
BERCHHA,BCH,,,,,,
MAKSI JUNCTION,MKC,,,,,,
UJJAIN JN,UJN,,,,,,
DEWAS,DWX,,,,,,
INDORE JN,INDB,,,,,,
DR. AMBEDKAR NAGAR,DADN,,,,,,
